T,h
300.0,4350.0204899369555
310.0,6709.238317277429
320.0,9092.195444806635
330.0,11501.136948037016
340.0,13939.113869424204
350.0,16410.6744222524
360.0,18923.395633246844
370.0,21492.022976988992
380.0,25233.03176411346
400.0,30532.854072423423
410.0,33295.83528427999
420.0,36180.40340262003
430.0,39267.64606450631
440.0,42752.6468783634
450.0,47131.18087725729
460.0,53119.55974886133
470.0,61135.78004685282
480.0,72940.09045717116
490.0,96104.25996408127
500.0,111400.68435090088
510.0,113907.43208228392
520.0,116404.36039208013
530.0,118890.51523598158
540.0,121367.03182755595
550.0,123834.94434453083
560.0,126295.19495352636
570.0,128748.64188501636
580.0,131196.0666731687
590.0,133638.18065963476
600.0,136075.63084718573
610.0,138509.005177798
620.0,140938.8373001871
630.0,143365.61088351888
640.0,145789.76352694107
650.0,148211.69030848355
660.0,150631.74701155894
670.0,153050.2530627823
680.0,155467.49421081494
690.0,157883.72497252323
700.0,160299.17086971912
710.0,162714.03047715093
720.0,165128.47730008888
730.0,167542.66149785867
740.0,169956.71146791033
750.0,172370.73530342992
760.0,174784.82213616965
770.0,177199.0433749188
780.0,179613.45384900575
790.0,182028.09286524277
